,EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,OCCGROUP,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,PWDALLCOUNT,VISMINALLCOUNT
343524,North Cariboo Flying Services Ltd.,2018,Part-Time,Provincial,Alberta,Overall,48,43,5,0,0,17
343591,North Star Air Ltd.,2018,Full-Time,Provincial,Ontario,Overall,182,137,45,9,0,20
343625,North Star Air Ltd.,2018,Part-Time,Provincial,Ontario,Overall,9,5,4,2,0,1
343663,Northern Communications Services Inc.,2018,Full-Time,Provincial,Ontario,Overall,158,54,104,8,12,8
343701,Northern Communications Services Inc.,2018,Part-Time,Provincial,Ontario,Overall,13,5,8,1,1,0
343759,Northern Mat & Bridge Limited Partnership,2018,Full-Time,Provincial,British Columbia,Overall,136,127,9,0,0,0
343800,Northern Mat & Bridge Limited Partnership,2018,Full-Time,Provincial,Alberta,Overall,169,133,36,1,0,0
343854,Northern Mat & Bridge Limited Partnership,2018,Part-Time,Provincial,Alberta,Overall,1,0,1,0,0,0
343904,Northumberland Ferries Limited,2018,Full-Time,Provincial,Prince Edward Island,Overall,160,102,58,4,8,2
343990,Northwestel Inc.,2018,Full-Time,Provincial,Yukon,Overall,289,190,99,20,8,38
344031,Northwestel Inc.,2018,Full-Time,Provincial,Northwest Territories,Overall,144,111,33,10,5,28
344089,Northwestel Inc.,2018,Part-Time,Provincial,Yukon,Overall,15,7,8,1,1,3
344106,Northwestel Inc.,2018,Part-Time,Provincial,Northwest Territories,Overall,7,6,1,5,0,0
344144,Nuclear Waste Management Organization,2018,Full-Time,Provincial,Ontario,Overall,137,78,59,5,1,40
344251,Oceanex Inc.,2018,Full-Time,Provincial,Québec,Overall,125,86,39,1,0,12
344296,Oceanex Inc.,2018,Full-Time,Provincial,Newfoundland and Labrador,Overall,94,67,27,1,1,1
344391,Oceanex Inc.,2018,Part-Time,Provincial,Newfoundland and Labrador,Overall,6,6,0,0,0,0
344437,Oculus Transport Ltd.,2018,Full-Time,Provincial,Alberta,Overall,112,101,11,2,1,9
344507,Office d'investissement des régimes de pensions du secteur public,2018,Full-Time,Provincial,Québec,Overall,738,428,310,5,11,131
344582,Office d'investissement des régimes de pensions du secteur public,2018,Part-Time,Provincial,Québec,Overall,5,1,4,0,1,0
344751,Ontario Northland Transportation Commission,2018,Full-Time,Provincial,Ontario,Overall,739,593,146,0,0,0
344813,Ontario Northland Transportation Commission,2018,Part-Time,Provincial,Ontario,Overall,1,0,1,0,0,0
344851,Ontario Potato Dist. (Alliston) Inc. 1991,2018,Full-Time,Provincial,Ontario,Overall,179,140,39,1,7,36
344922,Ontario Potato Dist. (Alliston) Inc. 1991,2018,Part-Time,Provincial,Ontario,Overall,5,4,1,0,0,0
344989,Ontario Power Generation,2018,Full-Time,Provincial,Ontario,Overall,8937,6909,2028,157,194,1286
345116,Ontario Power Generation,2018,Part-Time,Provincial,Ontario,Overall,10,2,8,0,0,2
345179,ORANO Canada Inc.,2018,Full-Time,Provincial,Saskatchewan,Overall,381,289,92,134,2,18
345237,ORANO Canada Inc.,2018,Part-Time,Provincial,Saskatchewan,Overall,8,4,4,0,0,1
345283,Ornge Global Air Inc.,2018,Full-Time,Provincial,Ontario,Overall,206,193,13,9,3,14
345361,Ottawa Macdonald-Cartier International Airport Authority,2018,Full-Time,Provincial,Ontario,Overall,169,128,41,3,3,14
345439,Ottaway,2018,Full-Time,Provincial,Ontario,Overall,135,109,26,1,3,1
345473,Ottaway,2018,Part-Time,Provincial,Ontario,Overall,1,1,0,0,0,0
345535,"P&H Milling Group, a division of Parrish & Heimbecker, Ltd.",2018,Full-Time,Provincial,Ontario,Overall,281,217,64,2,4,8
345589,"P&H Milling Group, a division of Parrish & Heimbecker, Ltd.",2018,Part-Time,Provincial,Ontario,Overall,3,3,0,0,0,0
345639,Pacific Coastal Airlines Ltd.,2018,Full-Time,Provincial,British Columbia,Overall,266,180,86,6,4,56
345758,Pacific Coastal Airlines Ltd.,2018,Part-Time,Provincial,British Columbia,Overall,109,50,59,11,4,19
345849,Pacific Western Transportation Ltd.,2018,Full-Time,Provincial,Ontario,Overall,82,64,18,0,2,2
345920,Pacific Western Transportation Ltd.,2018,Part-Time,Provincial,Ontario,Overall,25,25,0,0,0,1
345967,Papineau Int. S.E.C. (Transport Papineau International),2018,Full-Time,Provincial,Québec,Overall,135,110,25,0,2,5
346046,Papineau Int. S.E.C. (Transport Papineau International),2018,Part-Time,Provincial,Québec,Overall,7,6,1,0,0,0
